問い合わせ番号,ステータス,発注機関,機関タイプ,発注地域,件名,フェーズ,サブカテゴリ,年度,入札種別,案件登録日,入札日,開札日,落札会社名,落札金額,落札金額(数値),予定金額,応札企業,応札社数,ノイズ判定,重複除外,採用レコード
R24521906,落札結果,秋田県市町村/大館市,市区町村,秋田県,ＡＩチャットボットサービス構築・運用保守業務【大館市】,⑤運用,,,,,,2024-06-19,株式会社トラパンツ,4730000,4730000,,,,,,○
N18649565,入札中,国土交通省/大阪空港事務所,,"福井県,大阪府",令和６年度 福井RAG施設除草作業,,,,競争・公募,2024-06-17,2024-07-25,,,,,,,,ノイズ,,
N18648076,入札中,日本中央競馬会,その他,東京都,生成AI技術利活用に係る調査研究(第2期),④構築,生成AI（その他）,FY2024,競争・公募,2024-06-17,2024-06-27,,,,,,,,,,○
N18646428,入札中,国土交通省/鹿児島空港事務所,その他,鹿児島県,種子島空港ＲＡＧ空港用ＩＴＶ装置機器交換作業,④構築,AI（その他）,FY2024,競争・公募,2024-06-17,2024-07-18,,,,,,,,,,○
N18643926,入札中,その他埼玉県市町村/越谷市,市区町村,埼玉県,越谷市生成AIサービス提供等業務【越谷市】,④構築,生成AIサービス導入,FY2024,競争・公募,2024-06-17,2024-07-03,,,,,,,,,,○
N18643881,入札中,その他北海道市町村/岩内町,都道府県,北海道,ＡＩチャットボットサービス導入業務【岩内町】,④構築,チャットボット,FY2024,競争・公募,2024-06-17,2024-07-10,,,,,,,,,,○
R24335104,落札結果,大阪府,都道府県,大阪府,生成ＡＩ庁内利活用推進事業,④構築,生成AI（その他）,,,,,2024-06-17,富士通Ｊａｐａｎ株式会社,92931300,92931300,,,,,,○
R24332219,落札結果,大阪府,都道府県,大阪府,生成ＡＩ庁内利活用推進事業,④構築,生成AI（その他）,,,,,2024-06-17,富士通Ｊａｐａｎ株式会社関西公共第一ビジネス部,92931300,92931300,,,,,,○
R24249398,落札結果,独立行政法人理化学研究所,独法,兵庫県,2024年度生成AI技術を応用した高度検索・問い合わせ回答サービスのライセンス提供一式,⑤運用,,,,,,2024-06-17,株式会社GFLOPS,7579000,7579000,,,,,,○
N18641830,入札中,内閣府/内閣大臣官房（会計担当参事官、内閣府会計管理）,国,東京都,令和６年度ＡＩ・生成ＡＩ等を活用した防災スペシャリスト養成支援システム調査検討業務内閣府大臣官房会計課契約第４係,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-14,2024-06-20,,,,,,,,,,○
N18641065,入札中,国土交通省/国土地理院,国,茨城県,生成ＡＩの導入,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-14,2024-06-27,,,,,,,,,,○
N18640893,入札中,大阪市,市区町村,大阪府,図書「実践 生成AIの教科書 ―実績豊富な活用事例とノウハウで学ぶ」ほか101点 買入【大阪市】,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-14,2024-07-05,,,,,,,,,,○
N18638274,入札中,東京都,都道府県,東京都,東京都水道局の文書生成AIクラウドサービスの提供業務委託,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-14,2024-07-02,,,,,,,,,,○
N18637466,入札中,防衛省/航空自衛隊/第3補給処,,埼玉県,ＢＡＴＴＥＲＹ，ＳＴＯＲＡＧＥ,,,,競争・公募,2024-06-14,2024-07-17,,,,,,,,ノイズ,,
N18634821,入札中,広島県,都道府県,広島県,広島県移住希望者向け生成AI活用対話型フロントエンドシステム構築業務,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-14,2024-06-28,,,,,,,,,,○
R24328472,落札結果,独立行政法人宇宙航空研究開発機構,独法,東京都,戦略的国際共同ミッションDragonfly地震計開発S&MAおよび技術支援業務（その3）,④構築,RAG構築,,,,,2024-06-14,ＨＩＲＥＣ株式会社,2816000,2816000,,,,,,○
R24285886,落札結果,独立行政法人産業技術総合研究所,独法,茨城県,フィジカル領域の生成AI基盤モデルに向けた模倣学習用ロボットマニピュレータ 他 １式,④構築,生成AI（その他）,,,,,2024-06-14,カンタム・ウシカタ株式会社,9229000,9229000,,,,,,○
N18631740,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-06-13,,,,,,,,,,,○
N18630281,入札中,福岡県,都道府県,福岡県,福岡県生成AIチャットサービスの環境構築業務委託,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-13,2024-07-03,,,,,,,,,,○
N18626501,入札中,京都市,市区町村,京都府,ｃｈａｔＧＰＴ Ｔｅａｍ【京都市】,④構築,AI（その他）,FY2024,競争・公募,2024-06-12,2024-06-15,,,,,,,,,,○
N18624071,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-06-12,,,,,,,,,,,○
N18624070,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-06-12,,,,,,,,,,,○
N18624057,入札中,その他,その他,全国,【米軍案件】Modify Shaft Lathe,④構築,AI（その他）,FY2024,競争・公募,2024-06-12,,,,,,,,,,,○
N18622457,入札中,その他千葉県市町村/成田市,市区町村,千葉県,AIチャットボット運用・保守業務【成田市】,⑤運用,,FY2024,競争・公募,2024-06-12,2024-06-26,,,,,,,,,,○
N18622285,入札中,その他熊本県市町村/天草市,市区町村,熊本県,天草市生成AIツールライセンス使用および初期構築業務【天草市】,⑤運用,,FY2024,競争・公募,2024-06-12,2024-07-19,,,,,,,,,,○
N18620868,入札中,その他愛知県市町村/春日井市,市区町村,愛知県,職員及び市民からの問い合わせ対応に係る生成AIサービスの導入に関する情報提供依頼【春日井市】,②設計,,FY2024,競争・公募,2024-06-12,2024-07-12,,,,,,,,,,○
R24106944,落札結果,群馬県,都道府県,群馬県,生成AIを活用したコンテンツ制作 企画・運営業務,④構築,生成AI（その他）,,,,,2024-06-12,株式会社アオミネクスト,,,,,,,,○
R24030519,落札結果,大分県市町村/大分市,市区町村,大分県,生成AIサービス提供業務【大分市】,④構築,生成AIサービス導入,,,,,2024-06-12,SBテクノロジー株式会社,,,,,,,,○
R23982703,落札結果,広島県,都道府県,広島県,生成 AI 利用環境整備委託業務,④構築,生成AIサービス導入,,,,,2024-06-12,株式会社 Exa Enterprise AI,,,,,,,,○
N19709516,入札中,その他熊本県市町村/荒尾市,市区町村,熊本県,荒尾市生成AIサービス提供業務【荒尾市】,④構築,生成AIサービス導入,FY2024,競争・公募,2024-06-11,2024-07-05,,,,,,,,,,○
N18615027,入札中,独立行政法人理化学研究所/神戸事業所,独法,兵庫県,生成AIによる学術論文分析に基づく知識共有システムの提供,④構築,生成AI（その他）,FY2024,競争・公募,2024-06-11,2024-06-26,,,,,,,,,,○
N18615022,入札中,独立行政法人理化学研究所/神戸事業所,独法,兵庫県,生成AIモデル向け計算機システムに係る意見招請,②設計,,FY2024,競争・公募,2024-06-11,2024-07-02,,,,,,,,,,○
N18613473,入札中,札幌市,市区町村,北海道,チャットボットシステム（障害福祉サービス）導入実証実験業務【札幌市】,③PoC,,FY2024,競争・公募,2024-06-11,2024-06-28,,,,,,,,,,○
R24327013,落札結果,特許庁,国,東京都,令和６年度産業財産権制度問題調査研究「生成AIを利用したデザイン創作の意匠法上の保護の在り方に関する調査研究」 一式,④構築,生成AI（その他）,,,,,2024-06-11,一般財団法人知的財産研究教育財団,17591970,17591970,,,,,,○
N18608294,入札中,独立行政法人農業・食品産業技術総合研究機構,独法,茨城県,生成AI用機器一式 (MacStudio ほか),④構築,生成AI（その他）,FY2024,競争・公募,2024-06-10,2024-06-21,,,,,,,,,,○
N18606815,入札中,財団法人/千葉県産業振興センター,独法,千葉県,令和6年度中小企業デジタル技術活用支援事業「IoT・生成AI等利活用促進に資する各種セミナー」及び「デジタル人材育成に資する各種研修」の実施業務,①研修,,FY2024,競争・公募,2024-06-10,2024-06-28,,,,,,,,,,○
R24277068,落札結果,日本政策金融公庫,その他,東京都,ChatGPT等の生成AIに関する研修に係る業務委託(一式),①研修,,,,,,2024-06-10,株式会社AI Shift,1584000,1584000,,,,,,○
R23926194,落札結果,三重県,都道府県,三重県,令和６年度生成ＡＩ利用環境提供業務,④構築,生成AI（その他）,,,,,2024-06-07,ロボフィス株式会社三重事業所,1950000,1950000,,"{応札企業名＝ロボフィス株式会社三重事業所、応札結果・備考＝、応札金額＝1950000},{応札企業名＝株式会社ＦＩＸＥＲ　四日市ユマニテクプラザ、応札結果・備考＝、応札金額＝5000000}",6,,,○
N18596049,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-06-06,,,,,,,,,,,○
N18592442,入札中,国土交通省/大阪航空局,その他,大阪府,喜界空港ＲＡＧ装置更新その他工事外４件実施設計,④構築,AI（その他）,FY2024,競争・公募,2024-06-06,2024-07-22,,,,,,,,,,○
R23921992,落札結果,その他兵庫県市町村/明石市,市区町村,兵庫県,令和6年度生成AIサービス利用業務【明石市】,⑤運用,,,,,,2024-06-06,株式会社ExaEnterpriseAI,1040000,1040000,1240000,,,,,○
N18581909,入札中,茨城県,都道府県,茨城県,RAG機能搭載文章生成AIサービス提供業務,④構築,RAG構築,FY2024,競争・公募,2024-06-05,2024-07-01,,,,,,,,,,○
R24011477,落札結果,愛媛県市町村/宇和島市,市区町村,愛媛県,生成AI提供業務【宇和島市】,④構築,生成AI（その他）,,,,,2024-06-05,株式会社両備システムズ,,,,,,,,○
N18581167,入札中,京都市,市区町村,京都府,ｃｈａｔＧＰＴ Ｔｅａｍ【京都市】,④構築,AI（その他）,FY2024,競争・公募,2024-06-04,2024-06-10,,,,,,,,,,○
N18578508,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-06-04,,,,,,,,,,,○
N18577756,入札中,国土交通省/那覇空港事務所,その他,沖縄県,令和６年度 与那国RAGサイト外２か所除草作業（その２）,④構築,RAG構築,FY2024,競争・公募,2024-06-04,2024-07-10,,,,,,,,,,○
R24276884,落札結果,独立行政法人産業技術総合研究所,独法,茨城県,生成AI サービスの利用 １式,④構築,生成AI（その他）,,,,,2024-06-04,ＯｐｅｎＡＩ,21200,21200,,,,,,○
R24044926,落札結果,日本郵政グループ,その他,東京都,生成ＡＩサービスの機能拡張に向けた技術検証等支援の委託 一式,③PoC,,,,,,2024-06-04,かんぽシステムソリューションズ株式会社,95839040,95839040,,,,,,○
N18565294,入札中,沖縄県市町村/那覇市,市区町村,沖縄県,令和6年度 AIチャットボットシステムサービス利用契約【那覇市】,⑤運用,,FY2024,競争・公募,2024-06-03,2024-06-17,,,,,,,,,,○
N18563842,入札中,北九州市,市区町村,福岡県,令和6年度生成AIを活用した全庁的な生産性向上のための実証業務【北九州市】,③PoC,,FY2024,競争・公募,2024-06-03,2024-07-01,,,,,,,,,,○
N18557152,入札中,独立行政法人産業技術総合研究所,独法,茨城県,フィジカル領域の生成AI基盤モデルに向けた模倣学習用ロボットマニピュレータ,④構築,生成AI（その他）,FY2024,競争・公募,2024-05-31,2024-06-14,,,,,,,,,,○
R25592670,落札結果,東京23区/千代田区,市区町村,東京都,九段中等教育学校生成AIの導入業務【千代田区】,④構築,教育・学校AI,,,,,2024-05-31,アルサーガパートナーズ株式会社,39600000,39600000,,,,,,○
R24566360,落札結果,独立行政法人国際協力機構,独法,東京都,Support of Activities for the Alumni Association of Paraguay (AEBPJ)2024,④構築,RAG構築,,,,,2024-05-31,Asociacion de Ex Becarios Paraguayos en el Japon （AEBPJ）,1525604,1525604,,,,,,○
N18554540,入札中,京都市,市区町村,京都府,ＣｈａｔＧＰＴ Ｐｌｕｓライセンス【京都市】,⑤運用,,FY2024,競争・公募,2024-05-30,2024-06-05,,,,,,,,,,○
N18554539,入札中,京都市,市区町村,京都府,ＣｈａｔＧＰＴ Ｔｅａｍライセンス【京都市】,⑤運用,,FY2024,競争・公募,2024-05-30,2024-06-05,,,,,,,,,,○
N18554537,入札中,京都市,市区町村,京都府,ＣｈａｔＧＰＴ Ｐｌｕｓライセンス【京都市】,⑤運用,,FY2024,競争・公募,2024-05-30,2024-06-05,,,,,,,,,,○
N18553023,入札中,国土交通省/国土技術政策総合研究所,独法,茨城県,生成ＡＩ等の活用による業務効率化に関する調査・整理業務,④構築,生成AI（その他）,FY2024,競争・公募,2024-05-30,,,,,,,,,,,○
R24079157,落札結果,デジタル庁,国,東京都,生成AIの業務利用に関する技術検証、利用環境整備,③PoC,,,,,,2024-05-30,株式会社ELYZA,339152000,339152000,339152000,,,,,○
R24044647,落札結果,デジタル庁,国,東京都,生成ＡＩの業務利用に関する技術検証、利用環境整備 一式,③PoC,,,,,,2024-05-30,株式会社ＥＬＹＺＡ,339152000,339152000,,,,,,○
N18544370,入札中,国土交通省/大阪航空局,,大阪府,佐賀空港外 1 空港 RAG 空港用 ITV 装置機器購入,,,,競争・公募,2024-05-29,2024-07-29,,,,,,,,ノイズ,,
R24328886,落札結果,名古屋市,市区町村,愛知県,チャットボットの障害福祉分野構築業務委託【名古屋市】,④構築,チャットボット,,,,,2024-05-29,株式会社NTTマーケティングアクトProCX,715000,715000,,,,,,○
R23837452,落札結果,その他愛知県市町村/一宮市,,愛知県,ＥＸＴＲＡＧＥＮ ＺＲ【一宮市】,,,,,,,2024-05-29,株式会社カーク,4480,4480,,,,ノイズ,,
N19280736,入札中,その他埼玉県市町村/加須市,市区町村,埼玉県,令和6年度 加須市AIチャットボットシステム導入業務及びシステム利用【加須市】,④構築,チャットボット,FY2024,競争・公募,2024-05-28,2024-06-21,,,,,,,,,,○
R24579329,落札結果,国立大学法人,独法,大分県,Laboratory equipment for bacterial culture and specimen storage（細菌培養及び検体保管に係る実験機器 一式）,④構築,RAG構築,,,,,2024-05-28,UTL PHARMACEUTICAL AND MEDICAL SUPPLIES,3333780,3333780,,,,,,○
R24455637,落札結果,独立行政法人土木研究所,独法,茨城県,排水機場における生成AI技術の適用に関する検証評価取りまとめ業務,③PoC,,,,,,2024-05-28,株式会社ニュージェック関東支店,42350000,42350000,44550000,,,,,○
R23836038,落札結果,独立行政法人土木研究所,独法,茨城県,排水機場における生成ＡＩ技術の適用に関する検証評価とりまとめ業務,③PoC,,,,,,2024-05-28,株式会社ニュージェック,38500000,38500000,40500000,{応札企業名＝株式会社ニュージェック、応札結果・備考＝落札、応札金額＝38500000},3,,,○
N18527031,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-05-27,,,,,,,,,,,○
R23830428,落札結果,日本政策金融公庫,その他,東京都,ＣｈａｔＧＰＴ等の生成ＡＩに関する研修に係る業務委託,①研修,,,,,,2024-05-27,株式会社エーアイシフト,1440000,1440000,,,,,,○
N18520713,入札中,静岡県,都道府県,静岡県,令和６年度静岡県生成AIサービス導入及び運用保守業務委託,⑤運用,,FY2024,競争・公募,2024-05-24,2024-06-07,,,,,,,,,,○
N18518090,入札中,京都市,市区町村,京都府,生成ＡＩライセンス【京都市】,⑤運用,,FY2024,競争・公募,2024-05-23,2024-05-29,,,,,,,,,,○
N18514521,入札中,デジタル庁,国,東京都,国・地方共通相談チャットボットの運用・保守等業務,⑤運用,,FY2024,競争・公募,2024-05-23,2024-07-26,,,,,,,,,,○
N18511615,入札中,その他兵庫県市町村/西宮市,市区町村,兵庫県,西宮市文章生成AI導入業務【西宮市】,④構築,生成AIサービス導入,FY2024,競争・公募,2024-05-23,2024-06-10,,,,,,,,,,○
R24273945,落札結果,愛知県,都道府県,愛知県,生成AI活用推進事業委託業務一式,④構築,生成AI（その他）,,,,,2024-05-23,エヌ・ティ・ティ・コミュニケーションズ株式会社東海支社,15048000,15048000,,,,,,○
R23847142,落札結果,東京23区/千代田区,市区町村,東京都,生成AIの導入業務【千代田区】,④構築,生成AIサービス導入,,,,,2024-05-23,アルサーガパートナーズ株式会社,,,,,,,,○
R23821144,落札結果,東京23区/千代田区,市区町村,東京都,生成AIの導入業務【千代田区】,④構築,生成AIサービス導入,,,,,2024-05-23,アルサーガパートナーズ株式会社,,,,,,,,○
R25855148,落札結果,その他大阪府市町村/泉大津市,市区町村,大阪府,泉大津市生成AIサービス導入業務【泉大津市】,④構築,生成AIサービス導入,,,,,2024-05-22,株式会社電通総研,,,,,,,,○
R24642665,落札結果,岐阜県市町村/岐阜市,市区町村,岐阜県,小川製作所製 Aragoローラー タイプC 9台【岐阜市】,④構築,RAG構築,,,,,2024-05-22,長谷川体育施設株式会社岐阜営業所,1210000,1210000,,,,,,○
R24564956,落札結果,国土交通省,国,東京都,生成AI活用促進に向けた通信基盤検討業務,④構築,生成AI（その他）,,,,,2024-05-22,一般社団法人建設電気技術協会,49995000,49995000,49995000,,,,,○
R23915389,落札結果,福岡市,市区町村,福岡県,福岡市チャットボット拡充業務委託【福岡市】,④構築,チャットボット,,,,,2024-05-22,株式会社ビースポーク,,,,,,,,○
N18503080,入札中,その他兵庫県市町村/明石市,市区町村,兵庫県,令和6年度生成AIサービス利用業務【明石市】,⑤運用,,FY2024,競争・公募,2024-05-21,2024-06-05,,,,,,,,,,○
R23785372,落札結果,和歌山県,,和歌山県,閲覧表５月ー３ その他 ＡＩチャットサービスライセンス Chat gpt Plus（Chat gpt4.0）4人分×9か月分 1式,,,,,,,2024-05-21,不調,,,,,,ノイズ,,
N18495891,入札中,滋賀県,都道府県,滋賀県,生成AI活用コンサルティングおよび検証業務,③PoC,,FY2024,競争・公募,2024-05-20,2024-06-07,,,,,,,,,,○
N18495847,入札中,三重県,都道府県,三重県,令和６年度生成ＡＩ利用環境提供業務,④構築,生成AI（その他）,FY2024,競争・公募,2024-05-20,2024-06-07,,,,,,,,,,○
N18493846,入札中,国土交通省/大阪航空局,その他,"大阪府,佐賀県,長崎県,沖縄県",佐賀空港外１空港ＲＡＧ空港用ＩＴＶ装置設置工事外１件実施設計,④構築,AI（その他）,FY2024,競争・公募,2024-05-20,2024-07-01,,,,,,,,,,○
N18492202,入札中,岐阜県市町村/大垣市,市区町村,岐阜県,大垣市AIチャットボットサービス構築及び運用・保守業務委託【大垣市】,⑤運用,,FY2024,競争・公募,2024-05-20,2024-06-20,,,,,,,,,,○
N18490899,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-05-20,,,,,,,,,,,○
N18490898,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-05-20,,,,,,,,,,,○
R24564949,落札結果,国土交通省,国,東京都,インフラ施設管理における生成AIの利活用促進に向けた調査検討及び運営支援業務,④構築,生成AI（その他）,,,,,2024-05-20,株式会社三菱総合研究所,79970000,79970000,79970000,,,,,○
R24259398,落札結果,独立行政法人国立高等専門学校機構,独法,石川県,三次元測定機 ㈱東京精密製 CONTURA G2 700RDS 7/7/6修理,④構築,AI（その他）,,,,,2024-05-20,轟産業株式会社,10945000,10945000,,,,,,○
R24000995,落札結果,独立行政法人物質・材料研究機構,独法,茨城県,検証を含む生成ＡＩの調査業務,③PoC,,,,,,2024-05-20,ＭａｔＢｒａｉｎ株式会社,1980000,1980000,,,,,,○
R23965811,落札結果,岐阜県,都道府県,岐阜県,診療材料売買単価契約 Dragonfly OPTIS,④構築,RAG構築,,,,,2024-05-20,不落,,,,,,,,○
R23965810,落札結果,岐阜県,都道府県,岐阜県,診療材料売買単価契約 Dragonfly OpStarｲﾒｰｼﾞﾝｸﾞｶﾃｰﾃﾙ,④構築,RAG構築,,,,,2024-05-20,不落,,,,,,,,○
R24133849,落札結果,長崎県市町村/佐世保市,市区町村,長崎県,佐世保市文書生成AI導入業務【佐世保市】,④構築,生成AIサービス導入,,,,,2024-05-18,エヌ・ティ・ティ・データ・カスタマサービス株式会社九州支社,6000000,6000000,,,,,,○
R25201336,落札結果,山梨県,都道府県,山梨県,富士の国やまなし観光ネットＡＩチャットボットシナリオ追加作業等業務委託,④構築,チャットボット,,,,,2024-05-17,株式会社ビースポーク,2722500,2722500,,,,,,○
R24485026,落札結果,山口県,都道府県,山口県,生成AI・学習アシスタントアプリケーション開発・保守業務,⑤運用,,,,,,2024-05-17,スタディポケット株式会社,7865000,7865000,7865000,,,,,○
R23794730,落札結果,その他東京都市町村/日野市,都道府県,東京都,日野市・三鷹市生成AI活用推進支援業務委託【日野市】,④構築,活用支援・コンサル,,,,,2024-05-17,株式会社ワイ・シー・シー 東京支社,4545000,4545000,4999500,"{応札企業名＝株式会社ワイ・シー・シー 東京支社、応札結果・備考＝落札、応札金額＝4545000},{応札企業名＝富士電機ＩＴソリューション株式会社、応札結果・備考＝辞退、応札金額＝},{応札企業名＝株式会社日立システムズ、応札結果・備考＝辞退、応札金額＝},{応札企業名＝リコージャパン株式会社 デジタルサービス営業本部　西東京支社　西東京ＬＡ営業部、応札結果・備考＝辞退、応札金額＝},{応札企業名＝エヌ・ティ・ティ・アドバンステクノロジ株式会社、応札結果・備考＝不参、応札金額＝}",15,,,○
N18473074,入札中,その他,その他,全国,【米軍案件】SHIPPING AND STORAG,④構築,RAG構築,FY2024,競争・公募,2024-05-16,,,,,,,,,,,○
N18471654,入札中,国税庁,国,東京都,チャットボットを活用した税務相談サービスの提供 一式,④構築,チャットボット,FY2024,競争・公募,2024-05-16,2024-08-21,,,,,,,,,,○
N18470939,入札中,沖縄県市町村/豊見城市,市区町村,沖縄県,豊見城市生成AI導入業務【豊見城市】,④構築,生成AIサービス導入,FY2024,競争・公募,2024-05-16,2024-06-27,,,,,,,,,,○
N18470656,入札中,独立行政法人国際観光振興機構,独法,東京都,2024年度生成AIを活用した観光情報提供・実証実験事業,③PoC,,FY2024,競争・公募,2024-05-16,2024-06-10,,,,,,,,,,○
N18460127,入札中,鹿児島県市町村/南九州市,市区町村,鹿児島県,観光案内用多言語AIチャットボット導入業務委託【南九州市】,④構築,チャットボット,FY2024,競争・公募,2024-05-15,2024-07-08,,,,,,,,,,○
R24260405,落札結果,外務省,国,東京都,「生成ＡＩ活用のための環境構築及び運用」業務委嘱,⑤運用,,,,,,2024-05-15,株式会社ＦＩＸＥＲ,79926000,79926000,120800000,,,,,○
R24142122,落札結果,独立行政法人都市再生機構,独法,神奈川県,ＵＲ賃貸住宅募集等業務におけるチャットボットの導入準備業務,④構築,チャットボット,,,,,2024-05-15,株式会社電通,8899000,8899000,9603616,,,,,○
R24113073,落札結果,防衛省,,岐阜県,ＤＩＡＰＨＲＡＧＭ外３品目,,,,,,,2024-05-15,株式会社ミクニエアロスペース,97702000,97702000,97837300,,,ノイズ,,
R23762661,落札結果,その他広島県市町村/福山市,市区町村,広島県,福山市生成ＡＩサービス提供業務【福山市】,④構築,生成AI（その他）,,,,,2024-05-15,株式会社ＦＩＸＥＲ,2694000,2694000,,,,,,○
R23755205,落札結果,愛知県,都道府県,愛知県,愛知県警察ＡＩチャットボットサービス導入業務委託,④構築,チャットボット,,,,,2024-05-15,株式会社サイネックス,500000,500000,,"{応札企業名＝株式会社サイネックス、応札結果・備考＝落札、応札金額＝500000},{応札企業名＝ＴＯＰＰＡＮ株式会社　中部事業部、応札結果・備考＝、応札金額＝4881915}",6,,,○
R23715968,落札結果,大阪府,都道府県,大阪府,労働相談チャットボットシステム運用保守業務,⑤運用,,,,,,2024-05-15,リコージャパン株式会社,580000,580000,,,,,,○
N18453968,入札中,国土交通省/大阪航空局,その他,"大阪府,香川県",高松ＲＡＧ増波工事外２件工事,④構築,AI（その他）,FY2024,競争・公募,2024-05-14,2024-06-26,,,,,,,,,,○
R24436336,落札結果,独立行政法人新エネルギー・産業技術総合開発機構,独法,神奈川県,官民による若手研究者発掘支援事業 生成AIによる微視組織を有する材料の製造パラメータ提案システム,④構築,生成AI（その他）,,,,,2024-05-14,学校法人慶應義塾,,,,,,,,○
R23948366,落札結果,その他大阪府市町村/箕面市,市区町村,大阪府,箕面市生成AI利用環境構築及び運用支援業務委託【箕面市】,⑤運用,,,,,,2024-05-14,株式会社クラフター,2306000,2306000,2306000,,,,,○
R23765496,落札結果,和歌山県,,和歌山県,閲覧表５月ー２ 運動用品 ヘルメット MAMMUT Crag Sender Helmet titanium 52-57 ｲﾝﾓｰﾙﾄﾞ 1個,,,,,,,2024-05-14,岡崎商事株式会社,9988,9988,,,,ノイズ,,
N18448724,入札中,横浜市,市区町村,神奈川県,園選び支援ＡＩチャットボット構築等業務委託【横浜市】,④構築,チャットボット,FY2024,競争・公募,2024-05-13,2024-06-19,,,,,,,,,,○
N18445590,入札中,独立行政法人理化学研究所/神戸事業所,独法,兵庫県,2024年度生成AI技術を応用した高度検索・問い合わせ回答サービスのライセンス提供,⑤運用,,FY2024,競争・公募,2024-05-13,2024-05-30,,,,,,,,,,○
N18441876,入札中,広島県,都道府県,広島県,生成 AI 利用環境整備委託業務,④構築,生成AIサービス導入,FY2024,競争・公募,2024-05-13,2024-06-04,,,,,,,,,,○
R23910401,落札結果,外務省,国,東京都,生成ＡＩ活用のための環境構築及び運用,⑤運用,,,,,,2024-05-13,株式会社ＦＩＸＥＲ,79926000,79926000,120800000,,,,,○
N18440827,入札中,日本銀行,その他,東京都,D24-013・生成AIの利用にかかる基礎的検証,③PoC,,FY2024,競争・公募,2024-05-10,2024-06-20,,,,,,,,,,○
N18440424,入札中,横浜市,市区町村,神奈川県,園選び支援ＡＩチャットボット構築等業務委託【横浜市】,④構築,チャットボット,FY2024,競争・公募,2024-05-10,2024-06-19,,,,,,,,,,○
R24116464,落札結果,防衛省,,岐阜県,ＤＩＡＰＨＲＡＧＭ外3品目,,,,,,,2024-05-10,株式会社ミクニエアロスペース,88820000,88820000,,,,ノイズ,,
R23763773,落札結果,茨城県市町村/つくば市,市区町村,茨城県,６ＡＩチャットボットサービスの利用【つくば市】,④構築,チャットボット,,,,,2024-05-10,株式会社ガバメイツ,1600000,1600000,,"{応札企業名＝株式会社ガバメイツ、応札結果・備考＝、応札金額＝1600000},{応札企業名＝株式会社ビー・エイチ・シー、応札結果・備考＝、応札金額＝1664000},{応札企業名＝コニカミノルタパブリテック株式会社、応札結果・備考＝予定価格超過、応札金額＝2000000}",9,,,○
R24273871,落札結果,愛知県,都道府県,愛知県,中小企業デジタル人材育成研修事業（能力開発リーダー向け研修、一般社員向けデータ分析活用人材育成研修・ノーコードツール活用人材育成研修・生成AI活用人材育成研修）一式,①研修,,,,,,2024-05-09,株式会社ネットラーニング,13288000,13288000,,,,,,○
N18449269,入札中,大阪府,都道府県,大阪府,労働相談チャットボットシステム運用保守業務,⑤運用,,FY2024,競争・公募,2024-05-07,2024-05-14,,,,,,,,,,○
R24164238,落札結果,その他新潟県市町村/長岡市,市区町村,新潟県,長岡市長岡市生成ＡＩサービス【長岡市】,④構築,生成AI（その他）,,,,,2024-05-07,株式会社イマクリエ,,,,,,,,○
N18405947,入札中,群馬県,都道府県,群馬県,生成ＡＩを活用したコンテンツ制作 企画・運営業務,④構築,生成AI（その他）,FY2024,競争・公募,2024-05-02,2024-05-31,,,,,,,,,,○
R24462358,落札結果,東京23区/渋谷区,市区町村,東京都,渋谷区ＡＩチャットボットシステム導入業務委託【渋谷区】,④構築,チャットボット,,,,,2024-05-02,株式会社ビー・オー・スタジオ,18040000,18040000,,,,,,○
N18403145,入札中,東京23区/千代田区,市区町村,東京都,生成AIの導入業務【千代田区】,④構築,生成AIサービス導入,FY2024,競争・公募,2024-05-01,2024-05-17,,,,,,,,,,○
N18398162,入札中,その他新潟県市町村/長岡市,市区町村,新潟県,長岡市生成AIサービス【長岡市】,④構築,生成AI（その他）,FY2024,競争・公募,2024-04-30,2024-06-06,,,,,,,,,,○
N18397679,入札中,国立大学法人/群馬大学,独法,群馬県,画像生成AI学習用計算機,④構築,生成AI（その他）,FY2024,競争・公募,2024-04-30,2024-05-08,,,,,,,,,,○
